k,Tk,Sk
1,1.78E-15,0.996047
2,0.997625,0.980237
3,1.85273,0.952569
4,2.99287,0.940711
5,3.9905,0.924901
6,4.98812,0.913043
7,5.98575,0.897233
8,6.98337,0.889328
9,12.114,0.881423
10,13.1116,0.873518
11,16.1045,0.865613
12,17.1021,0.849802
13,19.0974,0.841897
14,20.095,0.837945
15,22.2328,0.826087
16,23.0879,0.794466
17,24.0855,0.778656
18,26.0808,0.754941
19,27.0784,0.70751
20,28.9311,0.695652
21,31.924,0.687747
22,34.9169,0.671937
23,37.9097,0.664032
24,40.0475,0.644269
25,47.0309,0.612648
26,59.8575,0.612648
